game_title,platform,avg_price_usd,price_record_count
color swiper,PS,1.49,3
try to fit,PS,1.49,2
quick mafs,PS,1.49,3
the jumping burger rush,PS,1.49,3
zombie legion,PS,1.49,2
fill the cup,PS,1.49,3
world soccer pinball,PS,1.49,2
space defend,PS,1.49,2
the sheep p,PS,1.49,3
shapeu,PS,1.49,2
the boys escape,PS,1.49,2
rocket lift,PS,1.49,2
three minutes to eight,PS,1.49,2
mob control,PS,1.49,2
soccer pinball,PS,1.49,2
the hippo g,PS,1.49,2
capsule fight,PS,1.49,2
the capybara p,PS,1.49,2
flip it,PS,1.49,2
smoots pinball,PS,1.49,2
fly the plane,PS,1.49,2
do not crash,PS,1.49,2
missing parts,PS,1.49,2
helix jump,PS,1.49,2
snake break,PS,1.49,2
the jumping burger halloween edition,PS,1.49,2
action henk,PS,1.49,2
jump race,PS,1.49,2
crowd run,PS,1.49,2
meteor crusher,PS,1.49,2
item tower,PS,1.49,2
wildcat gun machine,PS,1.49,2
golf guys,PS,1.49,2
the jumping pumpkin - halloween edition,PS,1.49,2
the swindle,PS,1.49,2
chimp test,PS,1.49,3
tower,PS,1.49,2
the button be,PS,1.49,2
jurassic pinball,PS,1.49,2
quick mafs advanced,PS,1.49,3
the rice story,PS,1.49,2
road hell,PS,1.49,3
boys race,PS,1.49,3
weben blocks,PS,1.49,2
the jumping burger - halloween edition,PS,1.49,2
the basketball b,PS,1.49,2
ariko's enchanted forest,PS,1.49,3
mia's picnic,PS,1.49,2
the rusty sword: vanguard island,PS,1.49,2
save the doge,PS,1.49,2
box smash,PS,1.49,2
light-it up,PS,1.49,2
baking time!,PS,1.49,2
row of numbers,PS,1.49,2
rainbow mix advanced,PS,1.49,2
pixicharm - moo & move,PS,1.49,3
dragon's dungeon,PS,1.49,3
on the stairs,PS,1.49,3
the ketchup story,PS,1.49,3
zoo leap,PS,1.49,2
shooting blocks,PS,1.49,2
the chick c,PS,1.49,2
the halloween story,PS,1.49,2
black death : a tragic dirge,PS,1.49,2
circle dodge,PS,1.49,2
marble maze,PS,1.49,2
sausage wars,PS,1.49,2
the swapper,PS,1.49,2
bust a block 2,PS,1.49,3
weben blocks 2,PS,1.49,2
skull dash : ghost master,PS,1.49,2
fantasy friends,PS,1.49,2
the bat d,PS,1.49,3
awakening of cthulhu,PS,1.49,2
cubic run,PS,1.49,2
the czech run,PS,1.49,2
the slovak run,PS,1.49,2
fractured minds,PS,1.49,2
anodyne 2: return to dust,PS,1.53,47
glyphs of gitzan,PS,1.58,47
m.a.c.e. tower defense,PS,1.59,2
suddenly an ogre,PS,1.59,2
transcripted,PS,1.59,2
vampire: the masquerade - coteries of new york,PS,1.59,45
flupp the fish,PS,1.59,2
santas monster shootout,PS,1.59,2
mighty mage,PS,1.59,2
jak and daxter: the precursor legacy,PS,1.64,49
oriana (story one) - my first date rpg,PS,1.66,47
timothy vs the aliens,PS,1.69,2
claws & feathers 3,PS,1.7,47
cube raiders,PS,1.74,2
on sunday,PS,1.74,4
top web search 23,PS,1.74,2
after you,PS,1.74,2
gunkid 99,PS,1.74,2
bunny memory,PS,1.75,48
1-2-whopping word search!,PS,1.79,3
dance collider,PS,1.79,2
boiling bolt,PS,1.79,2
soraja towers,PS,1.79,2
the fall of elena temple,PS,1.79,2
flying soldiers,PS,1.79,2
maid of sker,PS,1.81,47
xel,PS,1.89,2
deadly days,PS,1.89,2
violetti goottii,PS,1.93,47
submersed,PS,1.94,2
persona 5 royal,PS,1.97,47
cazzarion: flak battle,PS,1.99,2
quack jump,PS,1.99,3
crypt of the serpent king,PS,1.99,2
galaxy shooter,PS,1.99,2
co-omets,PS,1.99,2
top run,PS,1.99,2
ball dodge,PS,1.99,2
gravity badgers,PS,1.99,2
word space,PS,1.99,2
midnight remastered,PS,1.99,2
mimi the cat: mimi's scratcher,PS,1.99,2
ellen,PS,1.99,2
mystic warriors battleground,PS,1.99,2
bottle tap,PS,1.99,3
shmoup,PS,1.99,2
ball destiny,PS,1.99,2
doctor cat,PS,1.99,2
rolling wheels,PS,1.99,2
a sketchbook about her sun,PS,1.99,2
stroke the animals,PS,1.99,2
max & the book of chaos,PS,1.99,2
vigour,PS,1.99,3
my name is mayo 3,PS,1.99,2
stroke the tortoise,PS,1.99,2
cazzarion: drone flight,PS,1.99,3
ramp bike racing,PS,1.99,3
the button be daylight,PS,1.99,2
arcade game series: dig dug,PS,1.99,2
saga of sins,PS,1.99,2
stroke the cow,PS,1.99,2
bad birds,PS,1.99,2
lost chiko 2,PS,1.99,3
cazzarion: ghost frenzy,PS,1.99,2
